sport_event_id,sport_event,event,sport,sport_id,weight_category_sport,season,collective_sport,gender_category
534,"Cycling BMX Freestyle,Park, Women","Park, Women",Cycling BMX Freestyle,58,False,Summer,False,Women
535,"Skateboarding,Park, Women","Park, Women",Skateboarding,64,False,Summer,False,Women
536,"Swimming,1,500 metres Freestyle, Women","1,500 metres Freestyle, Women",Swimming,6,False,Summer,False,Women
537,"Freestyle Skiing,Big Air, Women","Big Air, Women",Freestyle Skiing,43,False,Winter,False,Women
538,"Rugby Sevens,Rugby Sevens, Men","Rugby Sevens, Men",Rugby Sevens,63,False,Summer,True,Men
539,"Nordic Combined,Team, Men","Team, Men",Nordic Combined,54,False,Winter,True,Men
540,"Ski Jumping,Large Hill, Team, Men","Large Hill, Team, Men",Ski Jumping,55,False,Winter,True,Men
541,"Canoe Slalom,Canadian Doubles, Slalom, Men","Canadian Doubles, Slalom, Men",Canoe Slalom,40,False,Summer,True,Men
542,"Cycling Track,Team Sprint, Men","Team Sprint, Men",Cycling Track,10,False,Summer,True,Men
543,"Snowboarding,Halfpipe, Men","Halfpipe, Men",Snowboarding,48,False,Winter,False,Men
544,"Snowboarding,Parallel Giant Slalom, Women","Parallel Giant Slalom, Women",Snowboarding,48,False,Winter,False,Women
545,"Freestyle Skiing,Ski Cross, Men","Ski Cross, Men",Freestyle Skiing,43,False,Winter,False,Men
546,"Nordic Combined,Normal Hill / 10 km, Individual, Men","Normal Hill / 10 km, Individual, Men",Nordic Combined,54,False,Winter,False,Men
547,"Nordic Combined,Large Hill / 10 km, Individual, Men","Large Hill / 10 km, Individual, Men",Nordic Combined,54,False,Winter,False,Men
548,"Snowboarding,Parallel Giant Slalom, Men","Parallel Giant Slalom, Men",Snowboarding,48,False,Winter,False,Men
549,"Freestyle Skiing,Slopestyle, Men","Slopestyle, Men",Freestyle Skiing,43,False,Winter,False,Men
550,"Luge,Team Relay, Mixed","Team Relay, Mixed",Luge,45,False,Winter,True,Mixed
551,"Snowboarding,Parallel Slalom, Women","Parallel Slalom, Women",Snowboarding,48,False,Winter,False,Women
552,"Alpine Skiing,Team, Mixed","Team, Mixed",Alpine Skiing,29,False,Winter,True,Mixed
553,"Snowboarding,Slopestyle, Men","Slopestyle, Men",Snowboarding,48,False,Winter,False,Men
554,"Snowboarding,Big Air, Men","Big Air, Men",Snowboarding,48,False,Winter,False,Men
555,"Sport Climbing,Combined, Men","Combined, Men",Sport Climbing,69,False,Summer,False,Men
556,"Curling,Mixed Doubles, Mixed","Mixed Doubles, Mixed",Curling,70,False,Winter,True,Mixed
557,"Figure Skating,Team, Mixed","Team, Mixed",Figure Skating,36,False,Winter,True,Mixed
558,"Ice Hockey,Ice Hockey, Women","Ice Hockey, Women",Ice Hockey,56,False,Winter,True,Women
559,"Skeleton,Skeleton, Women","Skeleton, Women",Skeleton,23,False,Winter,False,Women
560,"Ski Jumping,Normal Hill, Individual, Women","Normal Hill, Individual, Women",Ski Jumping,55,False,Winter,False,Women
561,"Ski Jumping,Normal Hill, Team, Mixed","Normal Hill, Team, Mixed",Ski Jumping,55,False,Winter,True,Mixed
562,"Fencing,Épée, Masters and Amateurs, Individual, Men","Épée, Masters and Amateurs, Individual, Men",Fencing,11,False,Summer,False,Men
563,"Sailing,6 metres, Open","6 metres, Open",Sailing,17,False,Summer,True,Open
564,"Fencing,Foil, Team, Women","Foil, Team, Women",Fencing,11,False,Summer,True,Women
565,"Basque pelota,Mano, Doubles, Men","Mano, Doubles, Men",Basque pelota,71,False,Summer,True,Men
566,"Basque pelota,Mano, Singles, Men","Mano, Singles, Men",Basque pelota,71,False,Summer,True,Men
567,"Basque pelota,Pala Corta, Doubles, Men","Pala Corta, Doubles, Men",Basque pelota,71,False,Summer,True,Men
568,"Basque pelota,Frontenis, Doubles, Men","Frontenis, Doubles, Men",Basque pelota,71,False,Summer,True,Men
569,"Basque pelota,Frontenis, Doubles, Women","Frontenis, Doubles, Women",Basque pelota,71,False,Summer,True,Women
570,"Fencing,Épée, Team, Women","Épée, Team, Women",Fencing,11,False,Summer,True,Women
571,"Diving,Synchronized Springboard, Men","Synchronized Springboard, Men",Diving,3,False,Summer,True,Men
572,"Shooting,Air Pistol, 10 metres, Team, Mixed","Air Pistol, 10 metres, Team, Mixed",Shooting,5,False,Summer,True,Mixed
573,"Athletics,3,000 metres Race Walk, Men","3,000 metres Race Walk, Men",Athletics,1,False,Summer,False,Men
574,"Cross Country Skiing,18 kilometres, Men","18 kilometres, Men",Cross Country Skiing,42,False,Winter,False,Men
575,"Biathlon,3 × 7.5 kilometres Relay, Women","3 × 7.5 kilometres Relay, Women",Biathlon,47,False,Winter,True,Women
576,"Freestyle Skiing,Halfpipe, Women","Halfpipe, Women",Freestyle Skiing,43,False,Winter,False,Women
577,"Equestrian Eventing,Team, Open","Team, Open",Equestrian Eventing,49,False,Summer,True,Open
578,"Cross Country Skiing,3 × 5 kilometres Relay, Women","3 × 5 kilometres Relay, Women",Cross Country Skiing,42,False,Winter,True,Women
579,"Rowing,Coxed Fours, Women","Coxed Fours, Women",Rowing,7,False,Summer,True,Women
580,"Rowing,Coxed Quadruple Sculls, Women","Coxed Quadruple Sculls, Women",Rowing,7,False,Summer,True,Women
581,"Cross Country Skiing,20 kilometres, Women","20 kilometres, Women",Cross Country Skiing,42,False,Winter,False,Women
582,"Equestrian Dressage,Individual, Men","Individual, Men",Equestrian Dressage,50,False,Summer,False,Men
583,"Art Competitions,Painting, Graphic Arts, Open","Painting, Graphic Arts, Open",Art Competitions,13,False,Summer,False,Open
